environment,policy,attempts,budget_blocks,verified_utility_per_cost,escaped_defects,escaped_defect_rate,escaped_risk_weight,high_risk_escaped_defects,false_reject_rate,duplicate_rate,task_coverage,task_family_concentration,verifier_family_concentration,review_cost,compute_cost,review_budget_utilization,compute_budget_utilization,review_utilization_mean,review_price_mean,temperature_mean,probe_breach_rate
one-sided-medium,capability-only,1200.0,0.0,0.619365505,62.55,0.07364825,23.3545,24.35,0.0224383,0.3833333,5.75,0.81458325,1.0,530.6724997,319.875,0.7132694,0.88854155,0.7132694,0.0,0.12,0.0
one-sided-medium,full-ave,931.85,0.0,0.379527702,37.7,0.06238635,7.3445,0.7,0.03110125,0.07250205,8.0,0.41480865,0.27259,638.860381,225.543,0.85868335,0.6265083,0.85868335,0.57038535,0.52838015,0.24102565
one-sided-medium,plus-ecology,1200.0,0.0,0.544896803,69.55,0.08563615,24.597,18.35,0.0218967,0.1735,8.0,0.40125005,1.0,513.5058352,319.177,0.69019605,0.88660285,0.69019605,0.0,0.12,0.0
one-sided-medium,plus-posterior,1200.0,0.0,0.583696838,61.5,0.0744943,20.2005,13.05,0.02430465,0.1335834,8.0,0.4930832,1.0,485.00610105,303.0365,0.65188995,0.84176795,0.65188995,0.0,0.12,0.0
one-sided-medium,plus-probe-memory,968.8,231.2,0.335398964,43.25,0.07026,13.497,8.2,0.03493335,0.1586534,8.0,0.3722062,0.2738636,743.8427783,242.908,0.9997887,0.67474435,0.9997887,0.0,0.60639055,0.2454167
one-sided-medium,plus-risk-adaptive,1031.85,168.15,0.353058697,42.8,0.06545155,8.5005,1.15,0.0354209,0.15651955,8.0,0.3797049,0.2723195,743.9298799,258.3885,0.99990575,0.7177459,0.99990575,0.0,0.6060738,0.23961495
one-sided-medium,plus-shadow-backpressure,887.3,0.0,0.357306717,36.0,0.0635288,7.3065,0.85,0.0359064,0.07940645,8.0,0.3990407,0.26947715,643.02645415,221.5115,0.8642828,0.6153097,0.8642828,0.65882485,0.61843255,0.24903855
one-sided-medium,plus-temperature,1200.0,0.0,0.539704774,71.7,0.09027335,23.377,15.1,0.02154965,0.1599166,8.0,0.3866251,1.0,481.9897386,300.642,0.6478357,0.83511655,0.6478357,0.0,0.6060327,0.0
one-sided-medium,plus-verifier-diversity,975.25,224.75,0.332664339,21.95,0.03725925,7.4265,5.0,0.04498835,0.1592062,8.0,0.37699885,0.25011495,743.8777727,244.8245,0.99983565,0.68006805,0.99983565,0.0,0.60608125,0.0
two-sided-medium,capability-only,1200.0,0.0,0.562582211,62.55,0.0805398,23.3545,24.35,0.1115852,0.3833333,5.75,0.81458325,1.0,530.6724997,319.875,0.7132694,0.88854155,0.7132694,0.0,0.12,0.0
two-sided-medium,full-ave,931.85,0.0,0.329087931,37.7,0.07075645,7.3445,0.7,0.1535779,0.07250205,8.0,0.41480865,0.27259,638.860381,225.543,0.85868335,0.6265083,0.85868335,0.57038535,0.52838015,0.24102565
two-sided-medium,plus-ecology,1200.0,0.0,0.495623621,69.55,0.0933941,24.597,18.35,0.1103011,0.1735,8.0,0.40125005,1.0,513.5058352,319.177,0.69019605,0.88660285,0.69019605,0.0,0.12,0.0
two-sided-medium,plus-posterior,1200.0,0.0,0.532973656,61.5,0.08089935,20.2005,13.05,0.1077857,0.1335834,8.0,0.4930832,1.0,485.00610105,303.0365,0.65188995,0.84176795,0.65188995,0.0,0.12,0.0
two-sided-medium,plus-probe-memory,968.8,231.2,0.291145053,43.25,0.07984225,13.497,8.2,0.1602652,0.1586534,8.0,0.3722062,0.2738636,743.8427783,242.908,0.9997887,0.67474435,0.9997887,0.0,0.60639055,0.2454167
two-sided-medium,plus-risk-adaptive,1031.85,168.15,0.304672608,42.8,0.07445865,8.5005,1.15,0.16021045,0.15651955,8.0,0.3797049,0.2723195,743.9298799,258.3885,0.99990575,0.7177459,0.99990575,0.0,0.6060738,0.23961495
two-sided-medium,plus-shadow-backpressure,887.3,0.0,0.306368736,36.0,0.0726494,7.3065,0.85,0.16577565,0.07940645,8.0,0.3990407,0.26947715,643.02645415,221.5115,0.8642828,0.6153097,0.8642828,0.65882485,0.61843255,0.24903855
two-sided-medium,plus-temperature,1200.0,0.0,0.49376918,71.7,0.0976792,23.377,15.1,0.10336295,0.1599166,8.0,0.3866251,1.0,481.9897386,300.642,0.6478357,0.83511655,0.6478357,0.0,0.6060327,0.0
two-sided-medium,plus-verifier-diversity,975.25,224.75,0.277679163,21.95,0.04421355,7.4265,5.0,0.2009867,0.1592062,8.0,0.37699885,0.25011495,743.8777727,244.8245,0.99983565,0.68006805,0.99983565,0.0,0.60608125,0.0
high-correlation,capability-only,1200.0,0.0,0.5619625,121.2,0.14432175,43.6665,44.05,0.0276532,0.3833333,5.75,0.81458325,1.0,530.6724997,319.875,0.7132694,0.88854155,0.7132694,0.0,0.12,0.0
high-correlation,full-ave,916.3,0.0,0.333312344,74.85,0.13126525,15.0905,2.55,0.0470256,0.06953975,8.0,0.41458895,0.28711005,639.3949137,221.7445,0.8594018,0.6159569,0.8594018,0.60739025,0.52375875,0.33782065
high-correlation,plus-ecology,1200.0,0.0,0.492192897,133.0,0.1645606,45.153,32.0,0.0269864,0.1735,8.0,0.40125005,1.0,513.5058352,319.177,0.69019605,0.88660285,0.69019605,0.0,0.12,0.0
high-correlation,plus-posterior,1200.0,0.0,0.536595682,122.85,0.14844995,38.5965,24.3,0.0267424,0.13083335,8.0,0.4824583,1.0,482.9071132,301.394,0.64906865,0.8372055,0.64906865,0.0,0.12,0.0
high-correlation,plus-probe-memory,970.95,229.05,0.304201395,91.55,0.1499746,27.808,15.75,0.0401768,0.15919335,8.0,0.37458315,0.28645565,743.85886375,242.62,0.99981045,0.67394445,0.99981045,0.0,0.6064316,0.35689395
high-correlation,plus-risk-adaptive,1028.65,171.35,0.318702437,80.05,0.1269698,16.8005,3.25,0.04397105,0.1565209,8.0,0.38008065,0.2887417,743.90814145,256.3975,0.9998765,0.71221515,0.9998765,0.0,0.6063202,0.3621212
high-correlation,plus-shadow-backpressure,890.35,0.0,0.316108185,69.85,0.1287722,14.8355,2.7,0.044277,0.079709,8.0,0.3889959,0.2875708,643.91346735,221.7535,0.86547515,0.6159821,0.86547515,0.6690001,0.61877855,0.33685895
high-correlation,plus-temperature,1200.0,0.0,0.494143807,132.7,0.16692585,40.078,23.85,0.02760715,0.15700005,8.0,0.38425005,1.0,478.18606865,298.544,0.64272315,0.82928885,0.64272315,0.0,0.60596635,0.0
high-correlation,plus-verifier-diversity,980.75,219.25,0.299537466,48.0,0.08581045,15.3025,10.05,0.05158335,0.15747625,8.0,0.3742104,0.2501905,743.86545445,245.888,0.99981925,0.6830222,0.99981925,0.0,0.60641215,0.0
scarce-review,capability-only,1017.65,182.35,0.61908638,52.9,0.07396355,19.712,20.5,0.02286525,0.3815391,5.75,0.81475015,1.0,446.2217133,270.819,0.99960065,0.7522751,0.99960065,0.0,0.12,0.0
scarce-review,full-ave,648.6,0.0,0.424477558,24.0,0.0546516,4.53,0.65,0.02726165,0.02313665,8.0,0.49371855,0.2765222,419.19520595,149.358,0.93905745,0.41488325,0.93905745,1.6688407,0.3756467,0.2506411
scarce-review,plus-ecology,1048.55,151.45,0.544527497,60.55,0.08562595,21.422,15.7,0.0232234,0.1725181,8.0,0.40232325,1.0,445.54138755,278.6905,0.9980766,0.7741403,0.9980766,0.0,0.12,0.0
scarce-review,plus-posterior,1099.95,100.05,0.582009701,56.55,0.0748483,18.4975,11.8,0.02416195,0.13425245,8.0,0.49247775,1.0,443.06286275,278.206,0.9925243,0.7727943,0.9925243,0.0,0.12,0.0
scarce-review,plus-probe-memory,575.65,624.35,0.324773251,22.75,0.06388735,7.4145,4.8,0.03681485,0.16365485,8.0,0.3610914,0.2760518,446.2543319,145.6145,0.99967365,0.40448475,0.99967365,0.0,0.61641375,0.2543651
scarce-review,plus-risk-adaptive,612.9,587.1,0.346717482,25.55,0.06622945,5.075,0.7,0.03855795,0.1603604,8.0,0.3673,0.2715161,446.3374998,153.9015,0.99986,0.42750415,0.99986,0.0,0.61491335,0.22125495
scarce-review,plus-shadow-backpressure,592.6,0.05,0.351917054,23.45,0.0626382,4.72,0.65,0.0334239,0.03936055,8.0,0.397757,0.27409665,434.27758555,148.498,0.972844,0.41249445,0.972844,2.05815,0.6342887,0.25416665
scarce-review,plus-temperature,1108.5,91.5,0.537824377,65.5,0.0898505,21.3805,14.0,0.02135255,0.159927,8.0,0.3850326,1.0,443.08737265,277.7095,0.99257925,0.7714152,0.99257925,0.0,0.60625055,0.0
scarce-review,plus-verifier-diversity,581.7,618.3,0.325048744,12.5,0.036298,4.081,2.65,0.04802455,0.16373445,8.0,0.3625135,0.2501335,446.246635,147.2275,0.99965645,0.40896515,0.99965645,0.0,0.61580265,0.0
misleading-probes,capability-only,1200.0,0.0,0.619365505,62.55,0.07364825,23.3545,24.35,0.0224383,0.3833333,5.75,0.81458325,1.0,530.6724997,319.875,0.7132694,0.88854155,0.7132694,0.0,0.12,0.0
misleading-probes,full-ave,923.3,0.0,0.374148638,40.1,0.06704265,7.9795,1.3,0.03404525,0.07188765,8.0,0.41243055,0.2630677,637.10775705,224.6255,0.8563277,0.6239597,0.8563277,0.5772069,0.52768915,0.1073718
misleading-probes,plus-ecology,1200.0,0.0,0.544896803,69.55,0.08563615,24.597,18.35,0.0218967,0.1735,8.0,0.40125005,1.0,513.5058352,319.177,0.69019605,0.88660285,0.69019605,0.0,0.12,0.0
misleading-probes,plus-posterior,1200.0,0.0,0.583696838,61.5,0.0744943,20.2005,13.05,0.02430465,0.1335834,8.0,0.4930832,1.0,485.00610105,303.0365,0.65188995,0.84176795,0.65188995,0.0,0.12,0.0
misleading-probes,plus-probe-memory,970.0,230.0,0.333778528,33.15,0.0550479,10.572,6.4,0.03946785,0.15861625,8.0,0.37185985,0.2620743,743.85320025,243.178,0.9998027,0.67549445,0.9998027,0.0,0.6063852,0.10795455
misleading-probes,plus-risk-adaptive,1030.25,169.75,0.352530406,41.85,0.0643809,8.1955,1.0,0.035622,0.1566167,8.0,0.37943655,0.261237,743.9288826,258.0885,0.9999043,0.7169124,0.9999043,0.0,0.60608595,0.09676135
misleading-probes,plus-shadow-backpressure,883.3,0.0,0.347681232,38.6,0.06947385,7.7815,0.9,0.0350781,0.08267015,8.0,0.3970458,0.26065135,645.0479978,220.5545,0.867,0.61265145,0.867,0.67990805,0.61874215,0.0907052
misleading-probes,plus-temperature,1200.0,0.0,0.539704774,71.7,0.09027335,23.377,15.1,0.02154965,0.1599166,8.0,0.3866251,1.0,481.9897386,300.642,0.6478357,0.83511655,0.6478357,0.0,0.6060327,0.0
misleading-probes,plus-verifier-diversity,975.25,224.75,0.332664339,21.95,0.03725925,7.4265,5.0,0.04498835,0.1592062,8.0,0.37699885,0.25011495,743.8777727,244.8245,0.99983565,0.68006805,0.99983565,0.0,0.60608125,0.0
