environment,policy,attempts,budget_blocks,verified_utility_per_cost,escaped_defects,escaped_defect_rate,escaped_risk_weight,high_risk_escaped_defects,false_reject_rate,duplicate_rate,task_coverage,task_family_concentration,verifier_family_concentration,review_cost,compute_cost,review_budget_utilization,compute_budget_utilization,review_utilization_mean,review_price_mean,temperature_mean,probe_breach_rate
one-sided-medium,ave-core,930.7,0.0,0.382183513,38.95,0.0643715,7.534,0.85,0.03487635,0.07617825,8.0,0.42243245,0.2552251,635.6030334,227.5,0.85430515,0.6319445,0.85430515,0.5482643,0.5325627,0.0
one-sided-medium,diversity-risk-no-probes,1036.25,163.75,0.351404381,42.55,0.06532775,8.5575,1.7,0.03475,0.1572209,8.0,0.3816591,0.25020445,743.92586035,259.3165,0.99990025,0.7203236,0.99990025,0.0,0.6061199,0.0
one-sided-medium,full-ave,931.85,0.0,0.379527702,37.7,0.06238635,7.3445,0.7,0.03110125,0.07250205,8.0,0.41480865,0.27259,638.860381,225.543,0.85868335,0.6265083,0.85868335,0.57038535,0.52838015,0.24102565
one-sided-medium,plus-verifier-diversity,975.25,224.75,0.332664339,21.95,0.03725925,7.4265,5.0,0.04498835,0.1592062,8.0,0.37699885,0.25011495,743.8777727,244.8245,0.99983565,0.68006805,0.99983565,0.0,0.60608125,0.0
two-sided-medium,ave-core,930.7,0.0,0.327366803,38.95,0.07374785,7.534,0.85,0.16587905,0.07617825,8.0,0.42243245,0.2552251,635.6030334,227.5,0.85430515,0.6319445,0.85430515,0.5482643,0.5325627,0.0
two-sided-medium,diversity-risk-no-probes,1036.25,163.75,0.301934806,42.55,0.07468885,8.5575,1.7,0.16416745,0.1572209,8.0,0.3816591,0.25020445,743.92586035,259.3165,0.99990025,0.7203236,0.99990025,0.0,0.6061199,0.0
two-sided-medium,full-ave,931.85,0.0,0.329087931,37.7,0.07075645,7.3445,0.7,0.1535779,0.07250205,8.0,0.41480865,0.27259,638.860381,225.543,0.85868335,0.6265083,0.85868335,0.57038535,0.52838015,0.24102565
two-sided-medium,plus-verifier-diversity,975.25,224.75,0.277679163,21.95,0.04421355,7.4265,5.0,0.2009867,0.1592062,8.0,0.37699885,0.25011495,743.8777727,244.8245,0.99983565,0.68006805,0.99983565,0.0,0.60608125,0.0
high-correlation,ave-core,934.25,0.0,0.340907946,74.15,0.1270849,15.0685,2.8,0.0474257,0.0731848,8.0,0.41166865,0.2553418,636.1636394,227.4205,0.8550586,0.63172355,0.8550586,0.5496085,0.53241745,0.0
high-correlation,diversity-risk-no-probes,1036.55,163.45,0.318480136,83.55,0.1313837,17.726,3.5,0.0467354,0.15772805,8.0,0.38440215,0.2501608,743.9254451,258.9785,0.99989985,0.7193847,0.99989985,0.0,0.6065827,0.0
high-correlation,full-ave,916.3,0.0,0.333312344,74.85,0.13126525,15.0905,2.55,0.0470256,0.06953975,8.0,0.41458895,0.28711005,639.3949137,221.7445,0.8594018,0.6159569,0.8594018,0.60739025,0.52375875,0.33782065
high-correlation,plus-verifier-diversity,980.75,219.25,0.299537466,48.0,0.08581045,15.3025,10.05,0.05158335,0.15747625,8.0,0.3742104,0.2501905,743.86545445,245.888,0.99981925,0.6830222,0.99981925,0.0,0.60641215,0.0
scarce-review,ave-core,653.35,0.0,0.420018181,26.35,0.0603712,4.774,0.9,0.03367525,0.0248763,8.0,0.4862195,0.2597931,415.373931,151.636,0.93049725,0.42121105,0.93049725,1.5920795,0.38739825,0.0
scarce-review,diversity-risk-no-probes,614.6,585.4,0.345396443,25.65,0.06662205,5.1405,1.1,0.0357351,0.1636008,8.0,0.3685108,0.25043865,446.30520535,154.966,0.9997876,0.43046115,0.9997876,0.0,0.61483065,0.0
scarce-review,full-ave,648.6,0.0,0.424477558,24.0,0.0546516,4.53,0.65,0.02726165,0.02313665,8.0,0.49371855,0.2765222,419.19520595,149.358,0.93905745,0.41488325,0.93905745,1.6688407,0.3756467,0.2506411
scarce-review,plus-verifier-diversity,581.7,618.3,0.325048744,12.5,0.036298,4.081,2.65,0.04802455,0.16373445,8.0,0.3625135,0.2501335,446.246635,147.2275,0.99965645,0.40896515,0.99965645,0.0,0.61580265,0.0
misleading-probes,ave-core,930.7,0.0,0.382183513,38.95,0.0643715,7.534,0.85,0.03487635,0.07617825,8.0,0.42243245,0.2552251,635.6030334,227.5,0.85430515,0.6319445,0.85430515,0.5482643,0.5325627,0.0
misleading-probes,diversity-risk-no-probes,1036.25,163.75,0.351404381,42.55,0.06532775,8.5575,1.7,0.03475,0.1572209,8.0,0.3816591,0.25020445,743.92586035,259.3165,0.99990025,0.7203236,0.99990025,0.0,0.6061199,0.0
misleading-probes,full-ave,923.3,0.0,0.374148638,40.1,0.06704265,7.9795,1.3,0.03404525,0.07188765,8.0,0.41243055,0.2630677,637.10775705,224.6255,0.8563277,0.6239597,0.8563277,0.5772069,0.52768915,0.1073718
misleading-probes,plus-verifier-diversity,975.25,224.75,0.332664339,21.95,0.03725925,7.4265,5.0,0.04498835,0.1592062,8.0,0.37699885,0.25011495,743.8777727,244.8245,0.99983565,0.68006805,0.99983565,0.0,0.60608125,0.0
