environment,policy,attempts,verified_utility_per_cost,escaped_defects,escaped_defect_rate,escaped_risk_weight,high_risk_escaped_defects,false_reject_rate,duplicate_rate,task_coverage,task_family_concentration,verifier_family_concentration,review_cost,compute_cost,review_budget_utilization,review_price_mean,probe_breach_rate
dominant-provider,ave-core,934.5,0.360643919,41.55,0.07059695,7.5215,0.85,0.03501535,0.0749502,8.0,0.4230766,0.2553227,637.31364215,225.3855,0.85660445,0.55641705,0.0
dominant-provider,capability-only,1200.0,0.605216679,63.0,0.0753752,23.4595,25.05,0.0226746,0.34791665,5.9,0.84375,1.0,519.43074135,310.25,0.69815955,0.0,0.0
dominant-provider,full-ave,924.95,0.357986761,43.4,0.0741217,8.353,1.0,0.0336967,0.0712049,8.0,0.4348761,0.2710324,638.98410935,222.47,0.85884965,0.5727469,0.2496795
dominant-provider,plus-verifier-diversity,979.05,0.318790573,21.45,0.03748915,6.857,4.55,0.04440065,0.1584561,8.0,0.3859419,0.2500894,743.8155566,243.9895,0.99975215,0.0,0.0
provider-outage,ave-core,900.7,0.374709365,37.65,0.06492345,7.2655,1.05,0.0336686,0.0746535,8.0,0.40642255,0.2522789,620.3455628,218.248,0.8337978,0.42112405,0.0
provider-outage,capability-only,1100.0,0.605451179,59.05,0.0766445,22.5905,24.3,0.02186075,0.3761364,5.75,0.80340905,1.0,492.90594005,291.925,0.662508,0.0,0.0
provider-outage,full-ave,901.3,0.372868513,35.45,0.0614173,7.116,1.0,0.03437745,0.0693164,8.0,0.40071725,0.27495945,620.3481013,215.929,0.8338012,0.41791355,0.24583325
provider-outage,plus-verifier-diversity,981.9,0.333617158,20.3,0.03437275,6.5895,4.45,0.0474169,0.13533895,8.0,0.3763309,0.25012795,743.8423542,243.4055,0.9997881,0.0,0.0
review-abundant,ave-core,1194.9,0.354180341,52.8,0.06988635,10.5075,1.35,0.0355832,0.15596575,8.0,0.37879995,0.2502222,852.3221651,298.5605,0.76372955,0.00725005,0.0
review-abundant,capability-only,1200.0,0.619365505,62.55,0.07364825,23.3545,24.35,0.0224383,0.3833333,5.75,0.81458325,1.0,530.6724997,319.875,0.47551295,0.0,0.0
review-abundant,full-ave,1194.15,0.350445322,49.95,0.0665469,9.949,1.4,0.0360092,0.15346235,8.0,0.3758205,0.27684675,858.56978705,297.1225,0.76932785,0.0095489,0.25320535
review-abundant,plus-verifier-diversity,1200.0,0.335148881,26.45,0.0363996,9.0135,6.05,0.0441069,0.1587916,8.0,0.3799583,0.25,913.96586045,300.5265,0.81896585,0.0,0.0
review-medium,ave-core,930.7,0.382183513,38.95,0.0643715,7.534,0.85,0.03487635,0.07617825,8.0,0.42243245,0.2552251,635.6030334,227.5,0.85430515,0.5482643,0.0
review-medium,capability-only,1200.0,0.619365505,62.55,0.07364825,23.3545,24.35,0.0224383,0.3833333,5.75,0.81458325,1.0,530.6724997,319.875,0.7132694,0.0,0.0
review-medium,full-ave,931.85,0.379527702,37.7,0.06238635,7.3445,0.7,0.03110125,0.07250205,8.0,0.41480865,0.27259,638.860381,225.543,0.85868335,0.57038535,0.24102565
review-medium,plus-verifier-diversity,975.25,0.332664339,21.95,0.03725925,7.4265,5.0,0.04498835,0.1592062,8.0,0.37699885,0.25011495,743.8777727,244.8245,0.99983565,0.0,0.0
review-scarce,ave-core,653.35,0.420018181,26.35,0.0603712,4.774,0.9,0.03367525,0.0248763,8.0,0.4862195,0.2597931,415.373931,151.636,0.93049725,1.5920795,0.0
review-scarce,capability-only,1017.65,0.61908638,52.9,0.07396355,19.712,20.5,0.02286525,0.3815391,5.75,0.81475015,1.0,446.2217133,270.819,0.99960065,0.0,0.0
review-scarce,full-ave,648.6,0.424477558,24.0,0.0546516,4.53,0.65,0.02726165,0.02313665,8.0,0.49371855,0.2765222,419.19520595,149.358,0.93905745,1.6688407,0.2506411
review-scarce,plus-verifier-diversity,581.7,0.325048744,12.5,0.036298,4.081,2.65,0.04802455,0.16373445,8.0,0.3625135,0.2501335,446.246635,147.2275,0.99965645,0.0,0.0
